,Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
0,"Sep 20, 2024",117.06,118.62,115.39,116.00,116.00,"382,008,700"
1,"Sep 19, 2024",117.35,119.66,117.25,117.87,117.87,"293,506,400"
2,"Sep 18, 2024",115.89,117.70,113.22,113.37,113.37,"310,318,900"
3,"Sep 17, 2024",118.17,118.80,114.83,115.59,115.59,"231,925,900"
4,"Sep 16, 2024",116.79,118.18,114.36,116.78,116.78,"248,772,300"
5,"Sep 13, 2024",119.08,119.96,117.60,119.10,119.10,"238,358,300"
6,"Sep 12, 2024",0.01 Dividend,,,,,
7,"Sep 12, 2024",116.84,120.79,115.38,119.14,119.14,"367,100,500"
8,"Sep 11, 2024",109.39,117.19,107.42,116.91,116.90,"441,422,400"
9,"Sep 10, 2024",107.81,109.40,104.95,108.10,108.09,"268,283,700"
10,"Sep 9, 2024",104.88,106.55,103.69,106.47,106.46,"273,912,000"
11,"Sep 6, 2024",108.04,108.15,100.95,102.83,102.82,"413,638,100"
12,"Sep 5, 2024",104.99,109.65,104.76,107.21,107.20,"306,850,700"
13,"Sep 4, 2024",105.41,113.27,104.12,106.21,106.20,"372,470,300"
14,"Sep 3, 2024",116.01,116.21,107.29,108.00,107.99,"477,155,100"
15,"Aug 30, 2024",119.53,121.75,117.22,119.37,119.36,"333,751,600"
16,"Aug 29, 2024",121.36,124.43,116.71,117.59,117.58,"453,023,300"
17,"Aug 28, 2024",128.12,128.33,122.64,125.61,125.60,"448,101,100"
18,"Aug 27, 2024",125.05,129.20,123.88,128.30,128.29,"303,134,600"
19,"Aug 26, 2024",129.57,131.26,124.37,126.46,126.45,"331,964,700"
20,"Aug 23, 2024",125.86,129.60,125.22,129.37,129.36,"323,230,300"
21,"Aug 22, 2024",130.02,130.75,123.10,123.74,123.73,"376,189,100"
22,"Aug 21, 2024",127.32,129.35,126.66,128.50,128.49,"257,883,600"
23,"Aug 20, 2024",128.40,129.88,125.89,127.25,127.24,"300,087,400"
24,"Aug 19, 2024",124.28,130.00,123.42,130.00,129.99,"318,333,600"
25,"Aug 16, 2024",121.94,125.00,121.18,124.58,124.57,"302,589,900"
26,"Aug 15, 2024",118.76,123.24,117.47,122.86,122.85,"318,086,700"
27,"Aug 14, 2024",118.53,118.60,114.07,118.08,118.07,"339,246,400"
28,"Aug 13, 2024",112.44,116.23,111.58,116.14,116.13,"312,646,700"
29,"Aug 12, 2024",106.32,111.07,106.26,109.02,109.01,"325,559,900"
30,"Aug 9, 2024",105.64,106.60,103.43,104.75,104.74,"290,844,200"
31,"Aug 8, 2024",102.00,105.50,97.52,104.97,104.96,"391,910,000"
32,"Aug 7, 2024",107.81,108.80,98.69,98.91,98.90,"411,440,400"
33,"Aug 6, 2024",103.84,107.71,100.55,104.25,104.24,"409,012,100"
34,"Aug 5, 2024",92.06,103.41,90.69,100.45,100.44,"552,842,400"
35,"Aug 2, 2024",103.76,108.72,101.37,107.27,107.26,"482,027,500"
36,"Aug 1, 2024",117.53,120.16,106.81,109.21,109.20,"523,462,300"
37,"Jul 31, 2024",112.90,118.34,110.88,117.02,117.01,"473,174,200"
38,"Jul 30, 2024",111.52,111.99,102.54,103.73,103.72,"486,833,300"
39,"Jul 29, 2024",113.69,116.28,111.30,111.59,111.58,"248,152,100"
40,"Jul 26, 2024",116.19,116.20,111.58,113.06,113.05,"293,399,100"
41,"Jul 25, 2024",113.04,116.63,106.30,112.28,112.27,"460,067,000"
42,"Jul 24, 2024",119.17,119.95,113.44,114.25,114.24,"327,776,900"
43,"Jul 23, 2024",122.78,124.69,122.10,122.59,122.58,"173,911,000"
44,"Jul 22, 2024",120.35,124.07,119.86,123.54,123.53,"258,068,900"
45,"Jul 19, 2024",120.35,121.60,117.37,117.93,117.92,"217,223,800"
46,"Jul 18, 2024",121.85,122.40,116.56,121.09,121.08,"320,979,500"
47,"Jul 17, 2024",121.35,121.85,116.72,117.99,117.98,"390,086,200"
48,"Jul 16, 2024",128.44,129.04,124.58,126.36,126.35,"214,769,500"
49,"Jul 15, 2024",130.56,131.39,127.18,128.44,128.43,"208,326,200"
50,"Jul 12, 2024",128.26,131.92,127.22,129.24,129.23,"252,680,500"
51,"Jul 11, 2024",135.75,136.15,127.05,127.40,127.39,"374,782,700"
52,"Jul 10, 2024",134.03,135.10,132.42,134.91,134.90,"248,978,600"
53,"Jul 9, 2024",130.35,133.82,128.65,131.38,131.37,"285,366,600"
54,"Jul 8, 2024",127.49,130.77,127.04,128.20,128.19,"237,677,300"
55,"Jul 5, 2024",127.38,128.85,125.68,125.83,125.82,"214,176,700"
56,"Jul 3, 2024",121.66,128.28,121.36,128.28,128.27,"215,749,000"
57,"Jul 2, 2024",121.13,123.41,121.03,122.67,122.66,"218,374,000"
58,"Jul 1, 2024",123.47,124.84,118.83,124.30,124.29,"284,885,500"
59,"Jun 28, 2024",124.58,127.71,122.75,123.54,123.53,"315,516,700"
60,"Jun 27, 2024",124.10,126.41,122.92,123.99,123.98,"252,571,700"
61,"Jun 26, 2024",126.13,128.12,122.60,126.40,126.39,"362,975,900"
62,"Jun 25, 2024",121.20,126.50,119.32,126.09,126.08,"425,787,500"
63,"Jun 24, 2024",123.24,124.46,118.04,118.11,118.10,"476,060,900"
64,"Jun 21, 2024",127.12,130.63,124.30,126.57,126.56,"655,484,700"
65,"Jun 20, 2024",139.80,140.76,129.52,130.78,130.77,"517,768,400"
66,"Jun 18, 2024",131.14,136.33,130.69,135.58,135.57,"294,335,100"
67,"Jun 17, 2024",132.99,133.73,129.58,130.98,130.97,"288,504,400"
68,"Jun 14, 2024",129.96,132.84,128.32,131.88,131.87,"309,320,400"
69,"Jun 13, 2024",129.39,129.80,127.16,129.61,129.60,"260,704,500"
70,"Jun 12, 2024",123.06,126.88,122.57,125.20,125.19,"299,595,000"
71,"Jun 11, 2024",0.01 Dividend,,,,,
72,"Jun 11, 2024",121.77,122.87,118.74,120.91,120.90,"222,551,200"
73,"Jun 10, 2024",10:1 Stock Splits,,,,,
74,"Jun 10, 2024",120.37,123.10,117.01,121.79,121.77,"314,162,700"
75,"Jun 7, 2024",119.77,121.69,118.02,120.89,120.87,"412,386,000"
76,"Jun 6, 2024",124.05,125.59,118.32,121.00,120.98,"664,696,000"
77,"Jun 5, 2024",118.37,122.45,117.47,122.44,122.42,"528,402,000"
78,"Jun 4, 2024",115.72,116.60,114.04,116.44,116.42,"403,324,000"
79,"Jun 3, 2024",113.62,115.00,112.00,115.00,114.98,"438,392,000"
80,"May 31, 2024",112.52,112.72,106.94,109.63,109.61,"613,263,000"
81,"May 30, 2024",114.65,115.82,109.66,110.50,110.48,"487,350,000"
82,"May 29, 2024",113.05,115.49,110.90,114.82,114.81,"557,442,000"
83,"May 28, 2024",110.24,114.94,109.88,113.90,113.88,"652,728,000"
84,"May 24, 2024",104.45,106.47,103.00,106.47,106.45,"429,494,000"
85,"May 23, 2024",102.03,106.32,101.52,103.80,103.78,"835,065,000"
86,"May 22, 2024",95.46,96.02,93.25,94.95,94.93,"548,648,000"
87,"May 21, 2024",93.60,95.40,93.18,95.39,95.37,"328,946,000"
88,"May 20, 2024",93.75,95.20,93.44,94.78,94.76,"318,764,000"
89,"May 17, 2024",94.37,94.74,91.81,92.48,92.46,"359,691,000"
90,"May 16, 2024",94.91,95.82,94.10,94.36,94.34,"323,952,000"
91,"May 15, 2024",92.47,94.86,91.60,94.63,94.61,"417,735,000"
92,"May 14, 2024",89.60,91.65,88.93,91.36,91.34,"296,507,000"
93,"May 13, 2024",90.48,91.00,88.53,90.40,90.38,"289,680,000"
94,"May 10, 2024",90.31,91.40,89.23,89.88,89.86,"335,325,000"
95,"May 9, 2024",90.53,91.07,88.23,88.75,88.73,"378,013,000"
96,"May 8, 2024",89.48,91.19,89.42,90.41,90.40,"325,721,000"
97,"May 7, 2024",91.10,91.78,89.01,90.55,90.54,"437,342,000"
98,"May 6, 2024",89.39,92.22,89.06,92.14,92.12,"376,203,000"
99,"May 3, 2024",87.79,89.28,87.04,88.79,88.77,"398,341,000"
100,"May 2, 2024",84.45,86.24,83.20,85.82,85.80,"377,898,000"
101,"May 1, 2024",85.08,86.00,81.25,83.04,83.03,"559,863,000"
102,"Apr 30, 2024",87.24,88.82,86.30,86.40,86.39,"363,709,000"
103,"Apr 29, 2024",87.60,87.99,85.27,87.76,87.74,"388,971,000"
104,"Apr 26, 2024",83.82,88.33,83.39,87.74,87.72,"551,011,000"
105,"Apr 25, 2024",78.87,83.32,78.22,82.63,82.62,"424,641,000"
106,"Apr 24, 2024",83.95,84.08,79.18,79.68,79.66,"512,208,000"
107,"Apr 23, 2024",80.77,82.77,80.26,82.42,82.41,"438,559,000"
108,"Apr 22, 2024",78.10,80.07,76.40,79.52,79.50,"596,341,000"
109,"Apr 19, 2024",83.15,84.32,75.61,76.20,76.19,"875,198,000"
110,"Apr 18, 2024",84.97,86.19,82.40,84.67,84.66,"447,260,000"
111,"Apr 17, 2024",88.34,88.78,83.95,84.04,84.02,"495,400,000"
112,"Apr 16, 2024",86.43,88.12,86.06,87.42,87.40,"370,453,000"
113,"Apr 15, 2024",89.10,90.61,85.93,86.00,85.99,"443,077,000"
114,"Apr 12, 2024",89.70,90.18,87.53,88.19,88.17,"426,805,000"
115,"Apr 11, 2024",87.42,90.74,86.93,90.62,90.60,"431,637,000"
116,"Apr 10, 2024",83.93,87.40,83.71,87.04,87.02,"431,929,000"
117,"Apr 9, 2024",87.44,87.64,83.02,85.35,85.34,"503,547,000"
118,"Apr 8, 2024",88.70,88.83,86.73,87.13,87.12,"283,220,000"
119,"Apr 5, 2024",86.87,88.48,85.93,88.01,87.99,"399,678,000"
120,"Apr 4, 2024",90.41,90.63,85.88,85.90,85.89,"434,965,000"
121,"Apr 3, 2024",88.48,90.37,88.40,88.96,88.95,"370,067,000"
122,"Apr 2, 2024",88.45,90.09,87.62,89.45,89.44,"433,064,000"
123,"Apr 1, 2024",90.30,92.22,89.20,90.36,90.35,"452,441,000"
124,"Mar 28, 2024",90.00,91.30,89.19,90.36,90.34,"435,212,000"
125,"Mar 27, 2024",93.11,93.24,89.12,90.25,90.23,"586,067,000"
126,"Mar 26, 2024",95.85,96.38,92.50,92.56,92.55,"513,648,000"
127,"Mar 25, 2024",93.94,96.77,93.51,95.00,94.99,"552,136,000"
128,"Mar 22, 2024",91.14,94.78,90.83,94.29,94.27,"586,719,000"
129,"Mar 21, 2024",92.30,92.65,90.40,91.43,91.42,"480,372,000"
130,"Mar 20, 2024",89.80,90.41,88.22,90.37,90.36,"479,063,000"
131,"Mar 19, 2024",86.70,90.54,85.01,89.40,89.38,"672,171,000"
132,"Mar 18, 2024",90.39,92.40,87.08,88.46,88.44,"668,976,000"
133,"Mar 15, 2024",86.93,89.55,86.26,87.84,87.82,"642,086,000"
134,"Mar 14, 2024",89.58,90.65,86.60,87.94,87.93,"602,318,000"
135,"Mar 13, 2024",91.06,91.50,88.43,90.89,90.87,"635,713,000"
136,"Mar 12, 2024",88.05,91.96,86.15,91.91,91.90,"668,075,000"
137,"Mar 11, 2024",86.43,88.80,84.17,85.77,85.76,"678,364,000"
138,"Mar 8, 2024",95.14,97.40,86.51,87.53,87.51,"1,142,269,000"
139,"Mar 7, 2024",90.16,92.77,89.60,92.67,92.65,"608,119,000"
140,"Mar 6, 2024",88.02,89.72,87.03,88.70,88.69,"582,520,000"
141,"Mar 5, 2024",0.00 Dividend,,,,,
142,"Mar 5, 2024",85.27,86.10,83.42,85.96,85.95,"520,639,000"
143,"Mar 4, 2024",84.13,87.69,83.72,85.24,85.22,"615,616,000"
144,"Mar 1, 2024",80.00,82.30,79.43,82.28,82.26,"479,135,000"
145,"Feb 29, 2024",79.09,79.99,78.35,79.11,79.10,"507,289,000"
146,"Feb 28, 2024",77.62,78.93,77.13,77.66,77.65,"393,110,000"
147,"Feb 27, 2024",79.38,79.48,77.16,78.70,78.68,"391,705,000"
148,"Feb 26, 2024",79.70,80.65,78.50,79.09,79.08,"503,973,000"
149,"Feb 23, 2024",80.79,82.39,77.57,78.82,78.80,"829,388,000"
150,"Feb 22, 2024",75.03,78.57,74.22,78.54,78.52,"865,100,000"
151,"Feb 21, 2024",68.01,68.89,66.25,67.47,67.46,"690,298,000"
152,"Feb 20, 2024",71.95,71.96,67.73,69.45,69.44,"704,833,000"
153,"Feb 16, 2024",74.10,74.40,72.50,72.61,72.60,"495,327,000"
154,"Feb 15, 2024",73.87,73.97,72.40,72.66,72.64,"420,122,000"
155,"Feb 14, 2024",73.20,74.24,71.94,73.90,73.88,"504,917,000"
156,"Feb 13, 2024",70.40,73.45,69.62,72.13,72.11,"602,580,000"
